DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
156,2.019,0.542,1.766,,1.7586544000000002,0.01766,3.3946544000000003
157,2.032,0.542,1.774,,1.7506544000000002,0.01774,3.3946544000000003
158,2.045,0.544,1.783,,1.7541808000000003,0.01783,3.4071808000000003
159,2.058,0.549,1.801,,1.7674968000000004,0.018009999999999998,3.4384968000000002
160,2.071,0.552,1.816,,1.7712864000000006,0.01816,3.4572864000000005
161,2.084,0.553,1.828,,1.7655496000000004,0.01828,3.4635496000000003
162,2.096,0.554,1.839,,1.7608128000000005,0.01839,3.4698128000000006
163,2.109,0.555,1.849,,1.7570760000000005,0.01849,3.4760760000000004
164,2.122,0.558,1.861,,1.7638656000000008,0.01861,3.4948656000000007
165,2.135,0.559,1.87,,1.7611288000000003,0.0187,3.5011288000000005
166,2.148,0.563,1.882,,1.7741816,0.01882,3.5261815999999997
167,2.161,0.566,1.895,,1.7799711999999999,0.01895,3.5449712
168,2.174,0.567,1.907,,1.7742343999999997,0.01907,3.5512344
169,2.187,0.568,1.919,,1.7684976,0.01919,3.5574976
170,2.2,0.57,1.927,,1.773024,0.01927,3.570024
171,2.213,0.573,1.939,,1.7798135999999998,0.01939,3.5888136
172,2.226,0.576,1.951,,1.7866031999999996,0.01951,3.6076032
173,2.239,0.578,1.961,,1.7891295999999999,0.019610000000000002,3.6201296
174,2.252,0.579,1.972,,1.7843928,0.01972,3.6263928
175,2.265,0.58,1.986,,1.776656,0.01986,3.632656
176,2.278,0.583,1.995,,1.7864455999999995,0.019950000000000002,3.6514455999999997
177,2.291,0.585,2.008,,1.7859719999999997,0.02008,3.663972
178,2.304,0.587,2.02,,1.7864983999999997,0.0202,3.6764984
179,2.316,0.589,2.032,,1.7870247999999997,0.02032,3.6890248
