dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,current,voltage,V_led,Iled
161,2.084,981,0.791,2503,2.017,0.00791,1.226,2.7290000000000005,0.02017
162,2.096,986,0.795,2523,2.033,0.00795,1.238,2.7370000000000005,0.02033
163,2.109,991,0.799,2534,2.042,0.00799,1.243,2.7520000000000007,0.020419999999999997
164,2.122,992,0.799,2547,2.053,0.00799,1.254,2.7410000000000005,0.02053
165,2.135,995,0.802,2567,2.069,0.00802,1.267,2.7430000000000003,0.02069
166,2.148,998,0.804,2583,2.082,0.00804,1.278,2.742,0.020819999999999998
167,2.161,1003,0.808,2605,2.099,0.00808,1.291,2.7490000000000006,0.02099
168,2.174,1006,0.811,2615,2.107,0.00811,1.296,2.7590000000000003,0.021070000000000002
169,2.187,1008,0.812,2631,2.12,0.00812,1.308,2.752,0.0212
170,2.2,1009,0.813,2644,2.131,0.00813,1.318,2.7470000000000003,0.02131
171,2.213,1013,0.816,2663,2.146,0.00816,1.33,2.75,0.02146
172,2.226,1015,0.818,2675,2.156,0.00818,1.338,2.7519999999999993,0.021560000000000003
173,2.239,1018,0.82,2695,2.172,0.0082,1.352,2.7479999999999998,0.021720000000000003
174,2.252,1021,0.823,2705,2.18,0.00823,1.357,2.7579999999999996,0.0218
175,2.265,1033,0.832,2724,2.195,0.00832,1.363,2.797,0.021949999999999997
176,2.278,1031,0.831,2736,2.205,0.00831,1.374,2.7809999999999997,0.02205
177,2.291,1035,0.834,2751,2.217,0.00834,1.383,2.7869999999999995,0.022170000000000002
178,2.304,1039,0.837,2768,2.231,0.00837,1.394,2.7910000000000004,0.02231
179,2.316,1040,0.838,2783,2.243,0.00838,1.405,2.7849999999999997,0.02243
180,2.329,1042,0.84,2800,2.256,0.0084,1.416,2.7840000000000003,0.022559999999999997
181,2.342,1045,0.842,2814,2.268,0.00842,1.426,2.784,0.02268
182,2.355,1047,0.844,2827,2.278,0.00844,1.434,2.786,0.02278
183,2.368,1052,0.848,2846,2.293,0.00848,1.445,2.795,0.022930000000000002
184,2.381,1056,0.851,2864,2.308,0.00851,1.457,2.798,0.02308
185,2.394,1058,0.853,2879,2.32,0.00853,1.467,2.7980000000000005,0.0232
186,2.407,1062,0.856,2895,2.333,0.00856,1.477,2.803,0.023330000000000004
187,2.42,1065,0.858,2907,2.343,0.00858,1.485,2.8049999999999997,0.02343
188,2.433,1070,0.862,2929,2.36,0.00862,1.498,2.812,0.0236
189,2.446,1071,0.863,2942,2.371,0.00863,1.508,2.807,0.02371
190,2.459,1073,0.865,2960,2.385,0.00865,1.52,2.8049999999999997,0.023849999999999996
191,2.472,1075,0.866,2974,2.397,0.00866,1.531,2.799,0.023969999999999998
192,2.485,1077,0.868,2987,2.407,0.00868,1.539,2.801,0.02407
193,2.498,1082,0.872,3002,2.419,0.00872,1.547,2.813,0.02419
194,2.511,1083,0.873,3023,2.436,0.00873,1.563,2.8019999999999996,0.02436
195,2.524,1087,0.876,3035,2.446,0.00876,1.57,2.81,0.024460000000000003
196,2.536,1088,0.877,3056,2.463,0.00877,1.586,2.7990000000000004,0.02463
197,2.549,1091,0.879,3071,2.475,0.00879,1.596,2.799,0.02475
198,2.562,1094,0.882,3092,2.492,0.00882,1.61,2.8,0.02492
199,2.575,1099,0.886,3113,2.509,0.00886,1.623,2.807,0.025089999999999998
200,2.588,1102,0.888,3127,2.52,0.00888,1.632,2.8080000000000003,0.0252
201,2.601,1104,0.89,3146,2.535,0.0089,1.645,2.8049999999999997,0.02535
202,2.614,1104,0.89,3162,2.548,0.0089,1.658,2.792,0.02548
203,2.627,1106,0.891,3183,2.565,0.00891,1.674,2.781,0.02565
204,2.64,1109,0.894,3201,2.58,0.00894,1.686,2.784,0.0258
205,2.653,1115,0.899,3216,2.592,0.00899,1.693,2.802,0.025920000000000002
206,2.666,1118,0.901,3241,2.612,0.00901,1.711,2.7940000000000005,0.02612
207,2.679,1121,0.903,3259,2.626,0.00903,1.723,2.7920000000000003,0.02626
208,2.692,1123,0.905,3273,2.638,0.00905,1.733,2.792,0.02638
209,2.705,1125,0.907,3294,2.655,0.00907,1.748,2.7870000000000004,0.026549999999999997
210,2.718,1131,0.911,3312,2.669,0.00911,1.758,2.797,0.026690000000000002
211,2.731,1133,0.913,3335,2.688,0.00913,1.775,2.7899999999999996,0.02688
212,2.744,1136,0.915,3355,2.704,0.00915,1.789,2.786,0.02704
213,2.756,1136,0.915,3377,2.721,0.00915,1.806,2.769,0.02721
214,2.769,1139,0.918,3395,2.736,0.00918,1.818,2.772,0.027360000000000002
215,2.782,1143,0.921,3422,2.758,0.00921,1.837,2.768,0.02758
216,2.795,1145,0.923,3440,2.772,0.00923,1.849,2.7660000000000005,0.027719999999999998
217,2.808,1148,0.925,3462,2.79,0.00925,1.865,2.7600000000000007,0.0279
218,2.821,1151,0.928,3485,2.808,0.00928,1.88,2.7600000000000007,0.028079999999999997
219,2.834,1154,0.93,3506,2.825,0.0093,1.895,2.755,0.02825
220,2.847,1157,0.932,3531,2.845,0.00932,1.913,2.7470000000000003,0.028450000000000003
221,2.86,1158,0.933,3552,2.862,0.00933,1.929,2.7360000000000007,0.02862
222,2.873,1162,0.936,3568,2.875,0.00936,1.939,2.7410000000000005,0.02875
223,2.886,1166,0.94,3610,2.909,0.0094,1.969,2.731,0.029089999999999998
224,2.899,1168,0.941,3637,2.931,0.00941,1.99,2.715,0.02931
225,2.912,1170,0.943,3658,2.948,0.00943,2.005,2.7099999999999995,0.02948
226,2.925,1173,0.945,3682,2.967,0.00945,2.022,2.703,0.029670000000000002
227,2.938,1178,0.949,3703,2.984,0.00949,2.035,2.71,0.02984
228,2.951,1181,0.952,3734,3.009,0.00952,2.057,2.703,0.03009
229,2.964,1183,0.953,3760,3.03,0.00953,2.077,2.688,0.030299999999999997
230,2.976,1187,0.957,3784,3.049,0.00957,2.092,2.693,0.03049
231,2.989,1190,0.959,3808,3.069,0.00959,2.11,2.6849999999999996,0.03069
232,3.002,1195,0.963,3831,3.087,0.00963,2.124,2.6909999999999994,0.03087
233,3.015,1197,0.965,3865,3.115,0.00965,2.15,2.675,0.03115
234,3.028,1199,0.966,3894,3.138,0.00966,2.172,2.6579999999999995,0.03138
235,3.041,1200,0.967,3919,3.158,0.00967,2.191,2.6439999999999997,0.03158
236,3.054,1201,0.968,3949,3.182,0.00968,2.214,2.626,0.03182
237,3.067,1205,0.971,3978,3.206,0.00971,2.235,2.6199999999999997,0.03206
238,3.08,1209,0.974,4006,3.228,0.00974,2.254,2.615999999999999,0.03228
239,3.093,1211,0.976,4037,3.253,0.00976,2.277,2.6029999999999998,0.03253
240,3.106,1214,0.978,4055,3.268,0.00978,2.29,2.6000000000000005,0.03268
241,3.119,1216,0.98,4083,3.29,0.0098,2.31,2.59,0.0329
242,3.132,1218,0.982,4095,3.3,0.00982,2.318,2.5919999999999996,0.033
243,3.145,1222,0.985,4095,3.3,0.00985,2.315,2.6100000000000003,0.033
244,3.158,1227,0.989,4095,3.3,0.00989,2.311,2.6340000000000003,0.033
245,3.171,1229,0.99,4095,3.3,0.0099,2.31,2.6399999999999997,0.033
246,3.184,1232,0.993,4095,3.3,0.00993,2.307,2.6580000000000004,0.033
247,3.196,1233,0.994,4095,3.3,0.00994,2.306,2.6640000000000006,0.033
248,3.209,1235,0.995,4095,3.3,0.00995,2.305,2.67,0.033
249,3.222,1239,0.998,4095,3.3,0.00998,2.302,2.6879999999999997,0.033
250,3.235,1242,1.001,4095,3.3,0.01001,2.299,2.7059999999999995,0.033
251,3.248,1245,1.003,4095,3.3,0.01003,2.297,2.717999999999999,0.033
252,3.261,1249,1.007,4095,3.3,0.01007,2.293,2.742,0.033
253,3.274,1250,1.007,4095,3.3,0.01007,2.293,2.742,0.033
254,3.287,1253,1.01,4095,3.3,0.0101,2.29,2.7600000000000007,0.033
255,3.3,1255,1.011,4095,3.3,0.01011,2.289,2.765999999999999,0.033
