dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
101,1.307,545,0.439,1549,1.248,1.386,0.01248
102,1.32,551,0.444,1556,1.254,1.4100000000000001,0.01254
103,1.333,550,0.443,1570,1.265,1.393,0.01265
104,1.346,556,0.448,1587,1.279,1.4090000000000003,0.01279
105,1.359,557,0.449,1600,1.289,1.405,0.012889999999999999
106,1.372,559,0.45,1616,1.302,1.3980000000000001,0.01302
107,1.385,561,0.452,1632,1.315,1.3970000000000002,0.01315
108,1.398,563,0.454,1647,1.327,1.3970000000000002,0.013269999999999999
109,1.411,566,0.456,1664,1.341,1.3950000000000002,0.01341
110,1.424,570,0.459,1679,1.353,1.401,0.01353
111,1.436,574,0.463,1693,1.364,1.414,0.013640000000000001
112,1.449,576,0.464,1708,1.376,1.4080000000000004,0.01376
113,1.462,576,0.464,1715,1.382,1.4020000000000004,0.013819999999999999
114,1.475,578,0.466,1738,1.401,1.3950000000000002,0.01401
115,1.488,583,0.47,1749,1.409,1.4109999999999998,0.01409
116,1.501,586,0.472,1770,1.426,1.406,0.01426
117,1.514,590,0.475,1785,1.438,1.4119999999999997,0.014379999999999999
118,1.527,592,0.477,1798,1.449,1.413,0.014490000000000001
119,1.54,592,0.477,1809,1.458,1.4040000000000001,0.01458
120,1.553,595,0.479,1830,1.475,1.3989999999999996,0.014750000000000001
121,1.566,601,0.484,1836,1.48,1.424,0.0148
122,1.579,602,0.485,1856,1.496,1.4140000000000001,0.01496
123,1.592,606,0.488,1870,1.507,1.421,0.015069999999999998
124,1.605,608,0.49,1886,1.52,1.42,0.0152
125,1.618,609,0.491,1904,1.534,1.4119999999999997,0.01534
126,1.631,614,0.495,1919,1.546,1.4239999999999997,0.01546
127,1.644,618,0.498,1933,1.558,1.43,0.01558
128,1.656,623,0.502,1968,1.586,1.426,0.01586
129,1.669,624,0.503,1980,1.596,1.4219999999999997,0.015960000000000002
130,1.682,628,0.506,1995,1.608,1.428,0.01608
131,1.695,630,0.508,2006,1.617,1.431,0.01617
132,1.708,633,0.51,2023,1.63,1.4300000000000002,0.0163
133,1.721,636,0.513,2040,1.644,1.4340000000000004,0.01644
134,1.734,640,0.516,2060,1.66,1.4360000000000002,0.0166
135,1.747,642,0.517,2077,1.674,1.4280000000000004,0.016739999999999998
136,1.76,643,0.518,2090,1.684,1.4240000000000002,0.01684
137,1.773,649,0.523,2102,1.694,1.444,0.01694
138,1.786,651,0.525,2114,1.704,1.4460000000000004,0.01704
139,1.799,654,0.527,2131,1.717,1.4449999999999998,0.01717
140,1.812,656,0.529,2150,1.733,1.4410000000000003,0.01733
141,1.825,657,0.529,2161,1.741,1.4330000000000003,0.017410000000000002
142,1.838,660,0.532,2178,1.755,1.4370000000000003,0.01755
143,1.851,663,0.534,2192,1.766,1.4380000000000002,0.01766
144,1.864,667,0.538,2202,1.775,1.4530000000000003,0.01775
145,1.876,670,0.54,2223,1.791,1.4490000000000003,0.01791
146,1.889,673,0.542,2233,1.799,1.4530000000000003,0.01799
147,1.902,673,0.542,2247,1.811,1.4410000000000003,0.01811
148,1.915,679,0.547,2262,1.823,1.459,0.01823
149,1.928,682,0.55,2282,1.839,1.4610000000000003,0.01839
