dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
102,1.32,567,0.457,1560,1.257,1.485,0.01257
103,1.333,573,0.462,1574,1.268,1.5040000000000002,0.01268
104,1.346,575,0.463,1589,1.281,1.497,0.012809999999999998
105,1.359,576,0.464,1605,1.293,1.4910000000000003,0.012929999999999999
106,1.372,579,0.467,1621,1.306,1.496,0.01306
107,1.385,581,0.468,1636,1.318,1.4900000000000002,0.01318
108,1.398,586,0.472,1648,1.328,1.5039999999999998,0.01328
109,1.411,587,0.473,1666,1.343,1.495,0.01343
110,1.424,592,0.477,1681,1.355,1.5070000000000001,0.01355
111,1.436,593,0.478,1701,1.371,1.4969999999999999,0.01371
112,1.449,594,0.479,1712,1.38,1.4939999999999998,0.0138
113,1.462,597,0.481,1723,1.388,1.4980000000000002,0.013879999999999998
114,1.475,599,0.483,1738,1.401,1.4969999999999997,0.01401
115,1.488,603,0.486,1751,1.411,1.505,0.014110000000000001
116,1.501,606,0.488,1774,1.43,1.498,0.0143
117,1.514,610,0.492,1785,1.438,1.514,0.014379999999999999
118,1.527,612,0.493,1801,1.451,1.5070000000000001,0.01451
119,1.54,615,0.496,1814,1.462,1.514,0.01462
120,1.553,620,0.5,1831,1.476,1.524,0.01476
121,1.566,622,0.501,1843,1.485,1.5210000000000001,0.01485
122,1.579,624,0.503,1858,1.497,1.5209999999999997,0.01497
123,1.592,626,0.504,1872,1.509,1.5150000000000001,0.01509
124,1.605,628,0.506,1890,1.523,1.5130000000000001,0.015229999999999999
125,1.618,633,0.51,1904,1.534,1.526,0.01534
126,1.631,635,0.512,1919,1.546,1.526,0.01546
127,1.644,640,0.516,1936,1.56,1.536,0.015600000000000001
128,1.656,643,0.518,1968,1.586,1.522,0.01586
129,1.669,649,0.523,1983,1.598,1.5399999999999998,0.01598
130,1.682,650,0.524,1994,1.607,1.5370000000000001,0.01607
131,1.695,653,0.526,2013,1.622,1.534,0.016220000000000002
132,1.708,656,0.529,2028,1.634,1.5400000000000005,0.01634
133,1.721,657,0.529,2046,1.649,1.5250000000000004,0.01649
134,1.734,661,0.533,2064,1.663,1.5350000000000004,0.01663
135,1.747,663,0.534,2074,1.671,1.5330000000000001,0.01671
136,1.76,667,0.538,2095,1.688,1.5400000000000003,0.01688
137,1.773,669,0.539,2106,1.697,1.537,0.01697
138,1.786,674,0.543,2124,1.712,1.546,0.01712
139,1.799,679,0.547,2135,1.721,1.561,0.01721
140,1.812,679,0.547,2150,1.733,1.549,0.01733
141,1.825,682,0.55,2162,1.742,1.5580000000000003,0.01742
142,1.838,685,0.552,2181,1.758,1.5540000000000003,0.01758
143,1.851,688,0.554,2193,1.767,1.5570000000000004,0.017669999999999998
144,1.864,689,0.555,2206,1.778,1.552,0.01778
145,1.876,691,0.557,2224,1.792,1.5500000000000005,0.017920000000000002
146,1.889,693,0.558,2240,1.805,1.5430000000000004,0.01805
147,1.902,699,0.563,2256,1.818,1.5599999999999996,0.01818
148,1.915,701,0.565,2266,1.826,1.5639999999999996,0.018260000000000002
149,1.928,703,0.567,2285,1.841,1.5609999999999997,0.01841
150,1.941,706,0.569,2299,1.853,1.5609999999999997,0.01853
151,1.954,711,0.573,2313,1.864,1.5739999999999996,0.01864
152,1.967,710,0.572,2327,1.875,1.5569999999999995,0.01875
153,1.98,715,0.576,2347,1.891,1.5649999999999995,0.01891
154,1.993,719,0.579,2355,1.898,1.5759999999999998,0.01898
155,2.006,720,0.58,2369,1.909,1.5709999999999995,0.01909
156,2.019,721,0.581,2385,1.922,1.5639999999999998,0.01922
157,2.032,725,0.584,2402,1.936,1.5679999999999996,0.01936
158,2.045,726,0.585,2417,1.948,1.5619999999999998,0.01948
159,2.058,733,0.591,2432,1.96,1.5859999999999999,0.0196
160,2.071,733,0.591,2448,1.973,1.5729999999999997,0.01973
161,2.084,738,0.595,2463,1.985,1.5849999999999997,0.01985
162,2.096,741,0.597,2480,1.999,1.5829999999999997,0.01999
163,2.109,746,0.601,2494,2.01,1.596,0.020099999999999996
164,2.122,747,0.602,2508,2.021,1.5910000000000002,0.02021
165,2.135,750,0.604,2525,2.035,1.5889999999999995,0.02035
166,2.148,752,0.606,2541,2.048,1.588,0.02048
167,2.161,752,0.606,2555,2.059,1.577,0.02059
168,2.174,756,0.609,2575,2.075,1.5789999999999997,0.02075
169,2.187,759,0.612,2591,2.088,1.5839999999999996,0.02088
170,2.2,764,0.616,2606,2.1,1.5959999999999996,0.021
171,2.213,766,0.617,2621,2.112,1.5899999999999999,0.02112
172,2.226,769,0.62,2635,2.123,1.5969999999999995,0.021230000000000002
173,2.239,770,0.621,2651,2.136,1.5899999999999999,0.02136
174,2.252,778,0.627,2667,2.149,1.613,0.02149
175,2.265,778,0.627,2683,2.162,1.6,0.02162
176,2.278,781,0.629,2694,2.171,1.6030000000000002,0.021709999999999997
177,2.291,784,0.632,2710,2.184,1.6079999999999997,0.021840000000000002
178,2.304,784,0.632,2720,2.192,1.5999999999999996,0.021920000000000002
179,2.316,787,0.634,2739,2.207,1.5970000000000004,0.02207
180,2.329,790,0.637,2755,2.22,1.6019999999999999,0.0222
181,2.342,794,0.64,2770,2.232,1.6079999999999997,0.022320000000000003
182,2.355,798,0.643,2787,2.246,1.612,0.02246
183,2.368,799,0.644,2801,2.257,1.6069999999999998,0.02257
184,2.381,803,0.647,2816,2.269,1.613,0.022690000000000002
185,2.394,802,0.646,2835,2.285,1.5910000000000002,0.022850000000000002
186,2.407,809,0.652,2850,2.297,1.6149999999999998,0.02297
187,2.42,813,0.655,2866,2.31,1.62,0.0231
188,2.433,816,0.658,2881,2.322,1.6260000000000003,0.02322
189,2.446,816,0.658,2897,2.335,1.6130000000000004,0.02335
190,2.459,817,0.658,2914,2.348,1.6000000000000005,0.023479999999999997
191,2.472,822,0.662,2933,2.364,1.6080000000000005,0.023639999999999998
192,2.485,823,0.663,2944,2.372,1.6060000000000003,0.023719999999999998
193,2.498,825,0.665,2960,2.385,1.6050000000000004,0.023849999999999996
194,2.511,829,0.668,2973,2.396,1.612,0.02396
195,2.524,831,0.67,2991,2.41,1.6100000000000003,0.0241
196,2.536,835,0.673,3013,2.428,1.6100000000000003,0.02428
197,2.549,837,0.675,3025,2.438,1.6120000000000005,0.024380000000000002
198,2.562,841,0.678,3041,2.451,1.6170000000000004,0.02451
199,2.575,843,0.679,3057,2.464,1.6099999999999999,0.02464
200,2.588,846,0.682,3082,2.484,1.6080000000000005,0.02484
201,2.601,848,0.683,3099,2.497,1.6010000000000009,0.02497
202,2.614,849,0.684,3113,2.509,1.5950000000000002,0.025089999999999998
203,2.627,853,0.687,3127,2.52,1.6019999999999999,0.0252
204,2.64,855,0.689,3145,2.534,1.5999999999999996,0.025339999999999998
205,2.653,859,0.692,3167,2.552,1.5999999999999992,0.02552
206,2.666,863,0.695,3186,2.567,1.6029999999999998,0.025670000000000002
207,2.679,865,0.697,3205,2.583,1.5989999999999993,0.025830000000000002
208,2.692,866,0.698,3219,2.594,1.5939999999999999,0.025939999999999998
209,2.705,871,0.702,3245,2.615,1.5969999999999995,0.026150000000000003
210,2.718,874,0.704,3255,2.623,1.601,0.026230000000000003
211,2.731,879,0.708,3280,2.643,1.6049999999999995,0.02643
212,2.744,880,0.709,3297,2.657,1.5969999999999995,0.02657
213,2.756,881,0.71,3319,2.675,1.585,0.02675
214,2.769,883,0.712,3333,2.686,1.5860000000000003,0.02686
215,2.782,885,0.713,3360,2.708,1.5699999999999994,0.027080000000000003
216,2.795,891,0.718,3378,2.722,1.5859999999999999,0.02722
217,2.808,893,0.72,3403,2.742,1.5780000000000003,0.02742
218,2.821,896,0.722,3423,2.758,1.5739999999999998,0.02758
219,2.834,900,0.725,3442,2.774,1.5759999999999996,0.02774
220,2.847,900,0.725,3467,2.794,1.5559999999999996,0.02794
221,2.86,905,0.729,3489,2.812,1.5619999999999998,0.02812
222,2.873,907,0.731,3507,2.826,1.56,0.02826
223,2.886,912,0.735,3530,2.845,1.565,0.028450000000000003
224,2.899,912,0.735,3559,2.868,1.5420000000000003,0.028679999999999997
225,2.912,913,0.736,3578,2.883,1.5330000000000004,0.02883
226,2.925,915,0.737,3613,2.912,1.5099999999999998,0.02912
227,2.938,919,0.741,3634,2.928,1.5179999999999998,0.02928
228,2.951,925,0.745,3663,2.952,1.5179999999999998,0.02952
229,2.964,927,0.747,3687,2.971,1.5110000000000001,0.02971
230,2.976,929,0.749,3707,2.987,1.5069999999999997,0.02987
231,2.989,934,0.753,3731,3.007,1.5109999999999997,0.03007
232,3.002,937,0.755,3762,3.032,1.4980000000000002,0.03032
233,3.015,939,0.757,3788,3.053,1.4889999999999999,0.030529999999999998
234,3.028,942,0.759,3813,3.073,1.4810000000000003,0.03073
235,3.041,944,0.761,3843,3.097,1.4689999999999999,0.03097
236,3.054,945,0.762,3863,3.113,1.459,0.03113
237,3.067,949,0.765,3893,3.137,1.4529999999999998,0.03137
238,3.08,951,0.766,3927,3.165,1.431,0.03165
239,3.093,953,0.768,3948,3.182,1.4260000000000006,0.03182
240,3.106,955,0.77,3975,3.203,1.4170000000000003,0.032029999999999996
241,3.119,959,0.773,4003,3.226,1.412,0.03226
242,3.132,960,0.774,4033,3.25,1.3940000000000001,0.0325
243,3.145,963,0.776,4061,3.273,1.3830000000000005,0.03273
244,3.158,967,0.779,4085,3.292,1.3820000000000006,0.03292
245,3.171,971,0.782,4095,3.3,1.3920000000000003,0.033
246,3.184,972,0.783,4095,3.3,1.3980000000000006,0.033
247,3.196,974,0.785,4095,3.3,1.4100000000000001,0.033
248,3.209,976,0.787,4095,3.3,1.4220000000000006,0.033
249,3.222,977,0.787,4095,3.3,1.4220000000000006,0.033
250,3.235,979,0.789,4095,3.3,1.4340000000000002,0.033
251,3.248,983,0.792,4095,3.3,1.4520000000000008,0.033
252,3.261,988,0.796,4095,3.3,1.476,0.033
253,3.274,991,0.799,4095,3.3,1.4940000000000007,0.033
254,3.287,992,0.799,4095,3.3,1.4940000000000007,0.033
255,3.3,995,0.802,4095,3.3,1.5120000000000005,0.033
