dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
69,0.893,681,0.549,1093,0.881,2.4130000000000003,0.00881
70,0.906,683,0.55,1105,0.89,2.41,0.0089
71,0.919,687,0.554,1124,0.906,2.418,0.00906
72,0.932,688,0.554,1136,0.915,2.4090000000000003,0.00915
73,0.945,689,0.555,1153,0.929,2.401,0.00929
74,0.958,693,0.558,1166,0.94,2.4080000000000004,0.009399999999999999
75,0.971,695,0.56,1183,0.953,2.4070000000000005,0.00953
76,0.984,701,0.565,1201,0.968,2.4219999999999997,0.00968
77,0.996,704,0.567,1214,0.978,2.4239999999999995,0.00978
78,1.009,705,0.568,1229,0.99,2.4179999999999993,0.009899999999999999
79,1.022,707,0.57,1245,1.003,2.417,0.010029999999999999
80,1.035,709,0.571,1254,1.011,2.415,0.01011
81,1.048,715,0.576,1270,1.023,2.433,0.01023
82,1.061,718,0.579,1289,1.039,2.4349999999999996,0.01039
83,1.074,720,0.58,1301,1.048,2.4319999999999995,0.01048
84,1.087,722,0.582,1319,1.063,2.4290000000000003,0.010629999999999999
85,1.1,724,0.583,1330,1.072,2.4259999999999997,0.01072
86,1.113,726,0.585,1344,1.083,2.4269999999999996,0.01083
87,1.126,731,0.589,1361,1.097,2.437,0.01097
88,1.139,735,0.592,1378,1.11,2.4419999999999993,0.0111
89,1.152,736,0.593,1391,1.121,2.437,0.01121
90,1.165,739,0.596,1405,1.132,2.444,0.011319999999999998
91,1.178,742,0.598,1423,1.147,2.441,0.011470000000000001
92,1.191,748,0.603,1438,1.159,2.4589999999999996,0.01159
93,1.204,750,0.604,1455,1.173,2.4509999999999996,0.01173
94,1.216,753,0.607,1470,1.185,2.457,0.011850000000000001
95,1.229,753,0.607,1486,1.198,2.444,0.01198
96,1.242,757,0.61,1495,1.205,2.455,0.01205
97,1.255,763,0.615,1519,1.224,2.466,0.01224
98,1.268,766,0.617,1530,1.233,2.469,0.01233
99,1.281,766,0.617,1552,1.251,2.451,0.012509999999999999
100,1.294,771,0.621,1568,1.264,2.4619999999999997,0.01264
101,1.307,771,0.621,1584,1.276,2.45,0.01276
102,1.32,777,0.626,1596,1.286,2.47,0.01286
103,1.333,778,0.627,1613,1.3,2.4619999999999997,0.013000000000000001
104,1.346,781,0.629,1625,1.31,2.464,0.0131
105,1.359,784,0.632,1640,1.322,2.4699999999999998,0.01322
106,1.372,786,0.633,1654,1.333,2.465,0.01333
107,1.385,787,0.634,1669,1.345,2.4590000000000005,0.01345
108,1.398,793,0.639,1683,1.356,2.4779999999999998,0.013560000000000001
109,1.411,796,0.641,1703,1.372,2.474,0.013720000000000001
110,1.424,798,0.643,1714,1.381,2.4770000000000003,0.01381
111,1.436,801,0.645,1730,1.394,2.476,0.01394
112,1.449,803,0.647,1744,1.405,2.4770000000000003,0.01405
113,1.462,807,0.65,1759,1.418,2.482,0.01418
114,1.475,811,0.654,1773,1.429,2.495,0.01429
115,1.488,814,0.656,1787,1.44,2.496,0.0144
116,1.501,816,0.658,1808,1.457,2.4910000000000005,0.014570000000000001
117,1.514,817,0.658,1819,1.466,2.482,0.01466
118,1.527,819,0.66,1831,1.476,2.484,0.01476
119,1.54,822,0.662,1847,1.488,2.4840000000000004,0.014879999999999999
120,1.553,826,0.666,1863,1.501,2.4950000000000006,0.015009999999999999
121,1.566,830,0.669,1875,1.511,2.503,0.015109999999999998
122,1.579,832,0.67,1893,1.525,2.4950000000000006,0.01525
123,1.592,834,0.672,1910,1.539,2.4930000000000003,0.01539
