dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
101,1.307,545,0.439,1545,1.245,1.3889999999999998,0.012450000000000001
102,1.32,548,0.442,1557,1.255,1.3970000000000002,0.012549999999999999
103,1.333,550,0.443,1575,1.269,1.389,0.01269
104,1.346,556,0.448,1587,1.279,1.4090000000000003,0.01279
105,1.359,555,0.447,1602,1.291,1.391,0.01291
106,1.372,560,0.451,1616,1.302,1.404,0.01302
107,1.385,560,0.451,1637,1.319,1.387,0.01319
108,1.398,562,0.453,1647,1.327,1.391,0.013269999999999999
109,1.411,566,0.456,1664,1.341,1.3950000000000002,0.01341
110,1.424,568,0.458,1675,1.35,1.3980000000000001,0.013500000000000002
111,1.436,570,0.459,1690,1.362,1.392,0.01362
112,1.449,574,0.463,1707,1.376,1.4020000000000001,0.01376
113,1.462,576,0.464,1718,1.384,1.4000000000000004,0.013839999999999998
114,1.475,576,0.464,1735,1.398,1.3860000000000003,0.01398
115,1.488,580,0.467,1749,1.409,1.393,0.01409
116,1.501,581,0.468,1766,1.423,1.3850000000000002,0.01423
117,1.514,585,0.471,1781,1.435,1.3909999999999996,0.01435
118,1.527,591,0.476,1797,1.448,1.408,0.01448
119,1.54,592,0.477,1808,1.457,1.405,0.014570000000000001
120,1.553,593,0.478,1829,1.474,1.394,0.01474
121,1.566,596,0.48,1840,1.483,1.3969999999999998,0.014830000000000001
122,1.579,598,0.482,1856,1.496,1.396,0.01496
123,1.592,603,0.486,1871,1.508,1.408,0.01508
124,1.605,604,0.487,1886,1.52,1.4019999999999997,0.0152
125,1.618,608,0.49,1903,1.534,1.406,0.01534
126,1.631,609,0.491,1915,1.543,1.4029999999999998,0.01543
127,1.644,611,0.492,1932,1.557,1.395,0.015569999999999999
128,1.656,618,0.498,1965,1.584,1.404,0.01584
129,1.669,622,0.501,1982,1.597,1.4090000000000003,0.015969999999999998
130,1.682,624,0.503,1994,1.607,1.4109999999999998,0.01607
131,1.695,626,0.504,2007,1.617,1.407,0.01617
132,1.708,627,0.505,2026,1.633,1.3970000000000002,0.01633
133,1.721,633,0.51,2037,1.642,1.4180000000000001,0.01642
134,1.734,635,0.512,2059,1.659,1.413,0.01659
135,1.747,638,0.514,2077,1.674,1.4100000000000001,0.016739999999999998
136,1.76,642,0.517,2086,1.681,1.4210000000000003,0.016810000000000002
137,1.773,642,0.517,2103,1.695,1.4070000000000003,0.01695
138,1.786,646,0.521,2114,1.704,1.4220000000000004,0.01704
139,1.799,647,0.521,2131,1.717,1.4090000000000003,0.01717
140,1.812,651,0.525,2150,1.733,1.4170000000000003,0.01733
141,1.825,654,0.527,2162,1.742,1.42,0.01742
142,1.838,656,0.529,2176,1.754,1.4200000000000004,0.01754
143,1.851,657,0.529,2192,1.766,1.4080000000000004,0.01766
144,1.864,660,0.532,2208,1.779,1.4130000000000003,0.01779
145,1.876,662,0.533,2222,1.791,1.4070000000000005,0.01791
146,1.889,663,0.534,2232,1.799,1.4050000000000002,0.01799
147,1.902,669,0.539,2250,1.813,1.421,0.01813
148,1.915,671,0.541,2266,1.826,1.4200000000000004,0.018260000000000002
149,1.928,674,0.543,2279,1.837,1.421,0.01837
150,1.941,675,0.544,2294,1.849,1.4150000000000003,0.01849
151,1.954,682,0.55,2307,1.859,1.4410000000000003,0.01859
152,1.967,682,0.55,2321,1.87,1.4300000000000002,0.0187
153,1.98,686,0.553,2340,1.886,1.4320000000000006,0.01886
154,1.993,687,0.554,2352,1.895,1.4290000000000003,0.01895
155,2.006,691,0.557,2368,1.908,1.4340000000000006,0.01908
156,2.019,691,0.557,2383,1.92,1.4220000000000006,0.0192
157,2.032,694,0.559,2399,1.933,1.421,0.01933
158,2.045,697,0.562,2413,1.945,1.4270000000000003,0.019450000000000002
159,2.058,699,0.563,2426,1.955,1.4229999999999996,0.01955
160,2.071,704,0.567,2443,1.969,1.4329999999999996,0.01969
161,2.084,705,0.568,2458,1.981,1.4269999999999994,0.01981
162,2.096,707,0.57,2474,1.994,1.426,0.01994
163,2.109,715,0.576,2487,2.004,1.4519999999999995,0.02004
164,2.122,715,0.576,2505,2.019,1.4369999999999994,0.02019
165,2.135,718,0.579,2519,2.03,1.444,0.0203
166,2.148,719,0.579,2538,2.045,1.4289999999999998,0.02045
167,2.161,721,0.581,2547,2.053,1.4329999999999998,0.02053
168,2.174,723,0.583,2570,2.071,1.4269999999999996,0.020710000000000003
169,2.187,727,0.586,2583,2.082,1.4340000000000002,0.020819999999999998
170,2.2,730,0.588,2597,2.093,1.4349999999999996,0.02093
171,2.213,733,0.591,2615,2.107,1.4389999999999996,0.021070000000000002
172,2.226,735,0.592,2630,2.119,1.4329999999999994,0.02119
173,2.239,737,0.594,2649,2.135,1.4290000000000003,0.021349999999999997
174,2.252,742,0.598,2663,2.146,1.4420000000000002,0.02146
175,2.265,745,0.6,2675,2.156,1.4439999999999995,0.021560000000000003
176,2.278,747,0.602,2688,2.166,1.4460000000000002,0.02166
177,2.291,751,0.605,2704,2.179,1.451,0.021789999999999997
178,2.304,752,0.606,2721,2.193,1.443,0.02193
179,2.316,753,0.607,2736,2.205,1.4369999999999998,0.02205
180,2.329,757,0.61,2751,2.217,1.443,0.022170000000000002
181,2.342,758,0.611,2768,2.231,1.435,0.02231
182,2.355,759,0.612,2782,2.242,1.4299999999999997,0.02242
183,2.368,762,0.614,2799,2.256,1.4280000000000004,0.022559999999999997
184,2.381,768,0.619,2814,2.268,1.4460000000000002,0.02268
185,2.394,771,0.621,2830,2.281,1.4449999999999998,0.02281
186,2.407,771,0.621,2841,2.289,1.4369999999999998,0.02289
187,2.42,775,0.625,2855,2.301,1.4489999999999998,0.023010000000000003
188,2.433,779,0.628,2877,2.318,1.4499999999999997,0.02318
189,2.446,782,0.63,2896,2.334,1.4460000000000002,0.02334
190,2.459,782,0.63,2910,2.345,1.435,0.023450000000000002
191,2.472,785,0.633,2923,2.356,1.4420000000000002,0.023559999999999998
192,2.485,786,0.633,2937,2.367,1.431,0.02367
193,2.498,790,0.637,2953,2.38,1.4420000000000002,0.023799999999999998
194,2.511,791,0.637,2968,2.392,1.4300000000000002,0.02392
195,2.524,794,0.64,2989,2.409,1.431,0.024089999999999997
196,2.536,798,0.643,3006,2.422,1.436,0.024220000000000002
197,2.549,801,0.645,3023,2.436,1.4340000000000002,0.02436
198,2.562,803,0.647,3034,2.445,1.4370000000000003,0.02445
199,2.575,805,0.649,3051,2.459,1.435,0.02459
200,2.588,810,0.653,3067,2.472,1.4460000000000002,0.02472
201,2.601,813,0.655,3088,2.488,1.4420000000000002,0.02488
202,2.614,816,0.658,3109,2.505,1.4430000000000005,0.02505
203,2.627,816,0.658,3129,2.522,1.4260000000000006,0.02522
204,2.64,817,0.658,3141,2.531,1.4170000000000003,0.025310000000000003
205,2.653,821,0.662,3165,2.551,1.4210000000000003,0.02551
206,2.666,822,0.662,3184,2.566,1.4060000000000006,0.02566
207,2.679,829,0.668,3200,2.579,1.4289999999999998,0.02579
208,2.692,831,0.67,3217,2.592,1.4280000000000004,0.025920000000000002
209,2.705,832,0.67,3235,2.607,1.4130000000000003,0.026070000000000003
210,2.718,835,0.673,3250,2.619,1.419,0.02619
211,2.731,836,0.674,3274,2.638,1.4060000000000006,0.02638
212,2.744,839,0.676,3293,2.654,1.4020000000000001,0.026539999999999998
213,2.756,844,0.68,3312,2.669,1.411,0.026690000000000002
214,2.769,846,0.682,3329,2.683,1.4090000000000007,0.02683
215,2.782,848,0.683,3350,2.7,1.3980000000000006,0.027000000000000003
216,2.795,848,0.683,3376,2.721,1.3770000000000007,0.02721
217,2.808,851,0.686,3391,2.733,1.3830000000000005,0.02733
218,2.821,857,0.691,3409,2.747,1.399,0.027469999999999998
219,2.834,859,0.692,3435,2.768,1.3839999999999995,0.027679999999999996
220,2.847,862,0.695,3459,2.787,1.383,0.02787
221,2.86,863,0.695,3476,2.801,1.3689999999999998,0.02801
222,2.873,866,0.698,3501,2.821,1.3669999999999995,0.028210000000000002
223,2.886,870,0.701,3523,2.839,1.3669999999999995,0.02839
224,2.899,873,0.704,3545,2.857,1.367,0.02857
225,2.912,877,0.707,3582,2.887,1.355,0.02887
