dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
169,2.187,727,0.586,2583,2.082
170,2.200,730,0.588,2597,2.093
171,2.213,733,0.591,2615,2.107
172,2.226,735,0.592,2630,2.119
173,2.239,737,0.594,2649,2.135
174,2.252,742,0.598,2663,2.146
175,2.265,745,0.600,2675,2.156
176,2.278,747,0.602,2688,2.166
177,2.291,751,0.605,2704,2.179
178,2.304,752,0.606,2721,2.193
179,2.316,753,0.607,2736,2.205
180,2.329,757,0.610,2751,2.217
181,2.342,758,0.611,2768,2.231
182,2.355,759,0.612,2782,2.242
183,2.368,762,0.614,2799,2.256
184,2.381,768,0.619,2814,2.268
185,2.394,771,0.621,2830,2.281
186,2.407,771,0.621,2841,2.289
187,2.420,775,0.625,2855,2.301
188,2.433,779,0.628,2877,2.318
189,2.446,782,0.630,2896,2.334
190,2.459,782,0.630,2910,2.345
191,2.472,785,0.633,2923,2.356
192,2.485,786,0.633,2937,2.367
193,2.498,790,0.637,2953,2.380
194,2.511,791,0.637,2968,2.392
195,2.524,794,0.640,2989,2.409
196,2.536,798,0.643,3006,2.422
197,2.549,801,0.645,3023,2.436
198,2.562,803,0.647,3034,2.445
199,2.575,805,0.649,3051,2.459
200,2.588,810,0.653,3067,2.472
201,2.601,813,0.655,3088,2.488
202,2.614,816,0.658,3109,2.505
203,2.627,816,0.658,3129,2.522
204,2.640,817,0.658,3141,2.531
205,2.653,821,0.662,3165,2.551
206,2.666,822,0.662,3184,2.566
207,2.679,829,0.668,3200,2.579
208,2.692,831,0.670,3217,2.592
209,2.705,832,0.670,3235,2.607
210,2.718,835,0.673,3250,2.619
211,2.731,836,0.674,3274,2.638
212,2.744,839,0.676,3293,2.654
213,2.756,844,0.680,3312,2.669
214,2.769,846,0.682,3329,2.683
215,2.782,848,0.683,3350,2.700
216,2.795,848,0.683,3376,2.721
217,2.808,851,0.686,3391,2.733
218,2.821,857,0.691,3409,2.747
219,2.834,859,0.692,3435,2.768
220,2.847,862,0.695,3459,2.787
221,2.860,863,0.695,3476,2.801
222,2.873,866,0.698,3501,2.821
223,2.886,870,0.701,3523,2.839
224,2.899,873,0.704,3545,2.857
225,2.912,877,0.707,3582,2.887
226,2.925,879,0.708,3601,2.902
227,2.938,880,0.709,3632,2.927
228,2.951,883,0.712,3650,2.941
229,2.964,885,0.713,3673,2.960
230,2.976,887,0.715,3706,2.987
231,2.989,890,0.717,3728,3.004
232,3.002,893,0.720,3750,3.022
233,3.015,895,0.721,3777,3.044
234,3.028,897,0.723,3809,3.070
235,3.041,901,0.726,3830,3.086
236,3.054,906,0.730,3856,3.107
237,3.067,908,0.732,3889,3.134
238,3.080,910,0.733,3919,3.158
239,3.093,912,0.735,3938,3.173
240,3.106,912,0.735,3966,3.196
241,3.119,915,0.737,3991,3.216
242,3.132,916,0.738,4020,3.240
243,3.145,919,0.741,4048,3.262
244,3.158,923,0.744,4078,3.286
245,3.171,927,0.747,4095,3.300
246,3.184,929,0.749,4095,3.300
247,3.196,930,0.749,4095,3.300
248,3.209,934,0.753,4095,3.300
249,3.222,938,0.756,4095,3.300
250,3.235,941,0.758,4095,3.300
251,3.248,943,0.760,4095,3.300
252,3.261,944,0.761,4095,3.300
253,3.274,944,0.761,4095,3.300
254,3.287,947,0.763,4095,3.300
255,3.300,949,0.765,4095,3.300
