dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
231,2.989,1190,0.959,3808,3.069,2.685,0.03069
232,3.002,1195,0.963,3831,3.087,2.6909999999999994,0.03087
233,3.015,1197,0.965,3865,3.115,2.675,0.03115
234,3.028,1199,0.966,3894,3.138,2.6579999999999995,0.03138
235,3.041,1200,0.967,3919,3.158,2.644,0.03158
236,3.054,1201,0.968,3949,3.182,2.626,0.03182
237,3.067,1205,0.971,3978,3.206,2.62,0.03206
238,3.08,1209,0.974,4006,3.228,2.615999999999999,0.03228
239,3.093,1211,0.976,4037,3.253,2.603,0.03253
240,3.106,1214,0.978,4055,3.268,2.6000000000000005,0.03268
241,3.119,1216,0.98,4083,3.29,2.59,0.0329
242,3.132,1218,0.982,4095,3.3,2.592,0.033
243,3.145,1222,0.985,4095,3.3,2.6100000000000003,0.033
244,3.158,1227,0.989,4095,3.3,2.6340000000000003,0.033
245,3.171,1229,0.99,4095,3.3,2.64,0.033
246,3.184,1232,0.993,4095,3.3,2.6580000000000004,0.033
247,3.196,1233,0.994,4095,3.3,2.6640000000000006,0.033
248,3.209,1235,0.995,4095,3.3,2.67,0.033
249,3.222,1239,0.998,4095,3.3,2.688,0.033
250,3.235,1242,1.001,4095,3.3,2.7059999999999995,0.033
251,3.248,1245,1.003,4095,3.3,2.717999999999999,0.033
252,3.261,1249,1.007,4095,3.3,2.742,0.033
253,3.274,1250,1.007,4095,3.3,2.742,0.033
254,3.287,1253,1.01,4095,3.3,2.7600000000000007,0.033
255,3.3,1255,1.011,4095,3.3,2.765999999999999,0.033
