dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
169,2.187,759,0.612,2591,2.088
170,2.2,764,0.616,2606,2.1
171,2.213,766,0.617,2621,2.112
172,2.226,769,0.62,2635,2.123
173,2.239,770,0.621,2651,2.136
174,2.252,778,0.627,2667,2.149
175,2.265,778,0.627,2683,2.162
176,2.278,781,0.629,2694,2.171
177,2.291,784,0.632,2710,2.184
178,2.304,784,0.632,2720,2.192
179,2.316,787,0.634,2739,2.207
180,2.329,790,0.637,2755,2.22
181,2.342,794,0.64,2770,2.232
182,2.355,798,0.643,2787,2.246
183,2.368,799,0.644,2801,2.257
184,2.381,803,0.647,2816,2.269
185,2.394,802,0.646,2835,2.285
186,2.407,809,0.652,2850,2.297
187,2.42,813,0.655,2866,2.31
188,2.433,816,0.658,2881,2.322
189,2.446,816,0.658,2897,2.335
190,2.459,817,0.658,2914,2.348
191,2.472,822,0.662,2933,2.364
192,2.485,823,0.663,2944,2.372
193,2.498,825,0.665,2960,2.385
194,2.511,829,0.668,2973,2.396
195,2.524,831,0.67,2991,2.41
196,2.536,835,0.673,3013,2.428
197,2.549,837,0.675,3025,2.438
198,2.562,841,0.678,3041,2.451
199,2.575,843,0.679,3057,2.464
200,2.588,846,0.682,3082,2.484
201,2.601,848,0.683,3099,2.497
202,2.614,849,0.684,3113,2.509
203,2.627,853,0.687,3127,2.52
204,2.64,855,0.689,3145,2.534
205,2.653,859,0.692,3167,2.552
206,2.666,863,0.695,3186,2.567
207,2.679,865,0.697,3205,2.583
208,2.692,866,0.698,3219,2.594
209,2.705,871,0.702,3245,2.615
210,2.718,874,0.704,3255,2.623
211,2.731,879,0.708,3280,2.643
212,2.744,880,0.709,3297,2.657
213,2.756,881,0.71,3319,2.675
214,2.769,883,0.712,3333,2.686
215,2.782,885,0.713,3360,2.708
216,2.795,891,0.718,3378,2.722
217,2.808,893,0.72,3403,2.742
218,2.821,896,0.722,3423,2.758
219,2.834,900,0.725,3442,2.774
220,2.847,900,0.725,3467,2.794
221,2.86,905,0.729,3489,2.812
222,2.873,907,0.731,3507,2.826
223,2.886,912,0.735,3530,2.845
224,2.899,912,0.735,3559,2.868
225,2.912,913,0.736,3578,2.883
226,2.925,915,0.737,3613,2.912
227,2.938,919,0.741,3634,2.928
228,2.951,925,0.745,3663,2.952
229,2.964,927,0.747,3687,2.971
230,2.976,929,0.749,3707,2.987
231,2.989,934,0.753,3731,3.007
232,3.002,937,0.755,3762,3.032
233,3.015,939,0.757,3788,3.053
234,3.028,942,0.759,3813,3.073
235,3.041,944,0.761,3843,3.097
236,3.054,945,0.762,3863,3.113
237,3.067,949,0.765,3893,3.137
238,3.08,951,0.766,3927,3.165
239,3.093,953,0.768,3948,3.182
240,3.106,955,0.77,3975,3.203
241,3.119,959,0.773,4003,3.226
242,3.132,960,0.774,4033,3.25
243,3.145,963,0.776,4061,3.273
244,3.158,967,0.779,4085,3.292
245,3.171,971,0.782,4095,3.3
246,3.184,972,0.783,4095,3.3
247,3.196,974,0.785,4095,3.3
248,3.209,976,0.787,4095,3.3
249,3.222,977,0.787,4095,3.3
250,3.235,979,0.789,4095,3.3
251,3.248,983,0.792,4095,3.3
252,3.261,988,0.796,4095,3.3
253,3.274,991,0.799,4095,3.3
254,3.287,992,0.799,4095,3.3
255,3.3,995,0.802,4095,3.3
