dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
169,2.187,736,0.593,2590,2.087
170,2.200,739,0.596,2605,2.099
171,2.213,741,0.597,2613,2.106
172,2.226,745,0.600,2635,2.123
173,2.239,751,0.605,2649,2.135
174,2.252,752,0.606,2665,2.148
175,2.265,753,0.607,2675,2.156
176,2.278,754,0.608,2688,2.166
177,2.291,757,0.610,2704,2.179
178,2.304,761,0.613,2720,2.192
179,2.316,763,0.615,2737,2.206
180,2.329,768,0.619,2753,2.219
181,2.342,770,0.621,2768,2.231
182,2.355,771,0.621,2783,2.243
183,2.368,775,0.625,2799,2.256
184,2.381,778,0.627,2813,2.267
185,2.394,783,0.631,2831,2.281
186,2.407,784,0.632,2843,2.291
187,2.420,786,0.633,2862,2.306
188,2.433,788,0.635,2878,2.319
189,2.446,790,0.637,2893,2.331
190,2.459,795,0.641,2911,2.346
191,2.472,797,0.642,2928,2.360
192,2.485,798,0.643,2937,2.367
193,2.498,803,0.647,2951,2.378
194,2.511,805,0.649,2973,2.396
195,2.524,809,0.652,2987,2.407
196,2.536,814,0.656,3002,2.419
197,2.549,816,0.658,3022,2.435
198,2.562,816,0.658,3032,2.443
199,2.575,817,0.658,3055,2.462
200,2.588,821,0.662,3081,2.483
201,2.601,823,0.663,3092,2.492
202,2.614,829,0.668,3113,2.509
203,2.627,832,0.670,3130,2.522
204,2.640,832,0.670,3146,2.535
205,2.653,835,0.673,3163,2.549
206,2.666,838,0.675,3184,2.566
207,2.679,841,0.678,3201,2.580
208,2.692,845,0.681,3217,2.592
209,2.705,848,0.683,3237,2.609
210,2.718,848,0.683,3255,2.623
211,2.731,851,0.686,3271,2.636
212,2.744,855,0.689,3294,2.655
213,2.756,857,0.691,3313,2.670
214,2.769,859,0.692,3332,2.685
215,2.782,862,0.695,3351,2.700
216,2.795,865,0.697,3373,2.718
217,2.808,869,0.700,3392,2.733
218,2.821,871,0.702,3420,2.756
219,2.834,877,0.707,3439,2.771
220,2.847,880,0.709,3465,2.792
221,2.860,880,0.709,3486,2.809
222,2.873,882,0.711,3506,2.825
223,2.886,885,0.713,3530,2.845
224,2.899,887,0.715,3548,2.859
225,2.912,891,0.718,3578,2.883
226,2.925,893,0.720,3608,2.908
227,2.938,896,0.722,3632,2.927
228,2.951,899,0.724,3654,2.945
229,2.964,901,0.726,3682,2.967
230,2.976,902,0.727,3703,2.984
231,2.989,909,0.733,3731,3.007
232,3.002,911,0.734,3758,3.028
233,3.015,912,0.735,3782,3.048
234,3.028,914,0.737,3807,3.068
235,3.041,917,0.739,3829,3.086
236,3.054,919,0.741,3862,3.112
237,3.067,924,0.745,3888,3.133
238,3.080,926,0.746,3919,3.158
239,3.093,929,0.749,3939,3.174
240,3.106,931,0.750,3969,3.198
241,3.119,935,0.753,3997,3.221
242,3.132,939,0.757,4023,3.242
243,3.145,941,0.758,4061,3.273
244,3.158,944,0.761,4081,3.289
245,3.171,944,0.761,4095,3.300
246,3.184,946,0.762,4095,3.300
247,3.196,949,0.765,4095,3.300
248,3.209,953,0.768,4095,3.300
249,3.222,956,0.770,4095,3.300
250,3.235,959,0.773,4095,3.300
251,3.248,961,0.774,4095,3.300
252,3.261,961,0.774,4095,3.300
253,3.274,965,0.778,4095,3.300
254,3.287,969,0.781,4095,3.300
255,3.300,971,0.782,4095,3.300
