dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
169,2.187,971,0.782,2621,2.112
170,2.2,973,0.784,2641,2.128
171,2.213,976,0.787,2654,2.139
172,2.226,976,0.787,2672,2.153
173,2.239,979,0.789,2688,2.166
174,2.252,981,0.791,2703,2.178
175,2.265,987,0.795,2723,2.194
176,2.278,988,0.796,2730,2.2
177,2.291,991,0.799,2739,2.207
178,2.304,993,0.8,2758,2.223
179,2.316,998,0.804,2778,2.239
180,2.329,1002,0.807,2790,2.248
181,2.342,1004,0.809,2810,2.264
182,2.355,1006,0.811,2819,2.272
183,2.368,1008,0.812,2837,2.286
184,2.381,1010,0.814,2855,2.301
185,2.394,1012,0.816,2868,2.311
186,2.407,1018,0.82,2891,2.33
187,2.42,1019,0.821,2899,2.336
188,2.433,1023,0.824,2920,2.353
189,2.446,1031,0.831,2932,2.363
190,2.459,1031,0.831,2953,2.38
191,2.472,1036,0.835,2965,2.389
192,2.485,1039,0.837,2979,2.401
193,2.498,1040,0.838,2993,2.412
194,2.511,1043,0.841,3011,2.426
195,2.524,1045,0.842,3026,2.439
196,2.536,1046,0.843,3047,2.455
197,2.549,1051,0.847,3066,2.471
198,2.562,1055,0.85,3086,2.487
199,2.575,1057,0.852,3105,2.502
200,2.588,1060,0.854,3120,2.514
201,2.601,1063,0.857,3137,2.528
202,2.614,1067,0.86,3158,2.545
203,2.627,1070,0.862,3173,2.557
204,2.64,1072,0.864,3195,2.575
205,2.653,1072,0.864,3214,2.59
206,2.666,1075,0.866,3231,2.604
207,2.679,1079,0.87,3251,2.62
208,2.692,1081,0.871,3266,2.632
209,2.705,1086,0.875,3281,2.644
210,2.718,1088,0.877,3305,2.663
211,2.731,1090,0.878,3326,2.68
212,2.744,1093,0.881,3344,2.695
213,2.756,1098,0.885,3365,2.712
214,2.769,1099,0.886,3383,2.726
215,2.782,1103,0.889,3408,2.746
216,2.795,1104,0.89,3430,2.764
217,2.808,1105,0.89,3450,2.78
218,2.821,1109,0.894,3473,2.799
219,2.834,1111,0.895,3493,2.815
220,2.847,1115,0.899,3520,2.837
221,2.86,1118,0.901,3541,2.854
222,2.873,1121,0.903,3567,2.875
223,2.886,1124,0.906,3597,2.899
224,2.899,1127,0.908,3618,2.916
225,2.912,1133,0.913,3649,2.941
226,2.925,1133,0.913,3664,2.953
227,2.938,1136,0.915,3693,2.976
228,2.951,1137,0.916,3722,2.999
229,2.964,1138,0.917,3754,3.025
230,2.976,1143,0.921,3771,3.039
231,2.989,1149,0.926,3808,3.069
232,3.002,1150,0.927,3825,3.082
233,3.015,1152,0.928,3851,3.103
234,3.028,1155,0.931,3879,3.126
235,3.041,1157,0.932,3907,3.148
236,3.054,1159,0.934,3937,3.173
237,3.067,1163,0.937,3966,3.196
238,3.08,1166,0.94,3991,3.216
239,3.093,1168,0.941,4020,3.24
240,3.106,1169,0.942,4042,3.257
241,3.119,1172,0.944,4077,3.285
242,3.132,1175,0.947,4095,3.3
243,3.145,1179,0.95,4095,3.3
244,3.158,1181,0.952,4095,3.3
245,3.171,1185,0.955,4095,3.3
246,3.184,1185,0.955,4095,3.3
247,3.196,1189,0.958,4095,3.3
248,3.209,1193,0.961,4095,3.3
249,3.222,1195,0.963,4095,3.3
250,3.235,1198,0.965,4095,3.3
251,3.248,1200,0.967,4095,3.3
252,3.261,1201,0.968,4095,3.3
253,3.274,1203,0.969,4095,3.3
254,3.287,1206,0.972,4095,3.3
255,3.3,1210,0.975,4095,3.3
